Date,LikeCount,CommentCount,SentimentScore,Product
8/1/2023,10,7,0.8,Sora
8/1/2023,15,9,0.9,ChatGPT
8/1/2023,12,8,0.7,Gemini
8/1/2023,7,5,0.6,VertextAI
8/1/2023,16,9,0.8,MidJourney
8/2/2023,18,12,0.7,Sora
8/2/2023,22,12,0.9,ChatGPT
8/2/2023,17,7,0.7,Gemini
8/2/2023,8,12,0.7,VertextAI
8/2/2023,10,10,0.6,MidJourney
8/3/2023,19,12,0.9,Sora
8/3/2023,15,10,0.9,ChatGPT
8/3/2023,16,7,0.7,Gemini
8/3/2023,5,7,0.6,VertextAI
8/3/2023,11,8,0.7,MidJourney
8/4/2023,22,12,0.9,Sora
8/4/2023,14,12,0.7,ChatGPT
8/4/2023,15,8,0.7,Gemini
8/4/2023,7,8,0.4,VertextAI
8/4/2023,9,12,0.4,MidJourney
8/5/2023,17,15,0.9,Sora
8/5/2023,16,9,0.9,ChatGPT
8/5/2023,18,4,0.5,Gemini
8/5/2023,10,2,0.5,VertextAI
8/5/2023,12,4,0.7,MidJourney
8/6/2023,18,7,0.9,Sora
8/6/2023,17,9,0.6,ChatGPT
8/6/2023,16,7,0.5,Gemini
8/6/2023,9,8,0.6,VertextAI
8/6/2023,14,6,0.7,MidJourney
8/7/2023,19,9,0.9,Sora
8/7/2023,15,8,0.9,ChatGPT
8/7/2023,14,4,0.6,Gemini
8/7/2023,6,6,0.5,VertextAI
8/7/2023,12,8,0.7,MidJourney
8/8/2023,20,7,0.7,Sora
8/8/2023,18,8,0.8,ChatGPT
8/8/2023,15,4,0.7,Gemini
8/8/2023,8,5,0.5,VertextAI
8/8/2023,11,7,0.6,MidJourney
